scale,omega_est,omega_se,omega_cil,omega_ciu,alpha_est,alpha_se,alpha_cil,alpha_ciu
stars,0.9436117,0.003973625,0.9360626,0.9512973,0.94,0.0037,0.94,0.95
stars_m,0.9437535,0.003977266,0.935739,0.9510985,0.94,0.0037,0.94,0.95
rmars,0.9447893,0.003782268,0.9368355,0.9515043,0.94,0.0037,0.94,0.95
rmars_s,0.9424545,0.004265673,0.9332555,0.9498286,0.94,0.0038,0.93,0.95
trait,0.9353523,0.004379753,0.9262063,0.9431259,0.93,0.0043,0.93,0.94
pre_state,0.9395176,0.004484245,0.9305912,0.9481547,0.94,0.004,0.93,0.95
post_state,0.9455516,0.004398532,0.9360241,0.9537758,0.94,0.0036,0.094,0.95
