id,q4.1_1,q4.1_2,q4.1_3,q4.1_4,q4.1_5,q4.1_6,q4.1_7,q4.1_8,q4.1_9,q4.1_10,q4.1_11,q4.1_12,q4.1_13,q4.1_14,q4.1_15,q4.1_16,q4.1_17,q4.1_18,q4.1_19,q4.1_20,q4.1_21,q4.1_22,q4.1_23,q4.2_1,q4.2_2,q4.2_3,q4.2_4,q4.2_5,q4.2_6,q4.2_7,q4.2_8,q4.2_9,q4.2_10,q4.2_11,q4.2_12,q4.2_13,q4.2_14,q4.2_15,q4.2_16,q4.2_17,q4.2_18,q4.2_19,q4.2_20,q4.3_1,q4.3_2,q4.3_3,q4.3_4,q4.3_5,q4.3_6,q4.3_7,q4.3_8,q4.3_9,q4.3_10,q4.3_11,q4.3_12,q4.3_13,q4.3_14,q4.3_15,q4.3_16,q4.3_17,q4.3_18,q4.3_19,q4.3_20,q4.4_1,q4.4_2,q4.4_3,q4.4_4,q4.4_5,q4.4_6,q4.4_7,q4.4_8,q4.4_9,q4.4_10,q4.4_11,q4.4_12,q4.4_13,q4.4_14,q4.4_15,q4.4_16,q4.4_17,q4.4_18,q4.4_19,q5.1_1,q5.1_2,q5.1_3,q5.1_4,q5.1_5,q5.1_6,q5.1_7,q5.1_8,q5.1_9,q5.1_10,q5.1_11,q5.1_12,q5.1_13,q5.1_14,q5.1_15,q5.1_16,q5.1_17,q5.1_18,q5.1_19,q5.1_20,q5.1_21,q5.2_1,q5.2_2,q5.2_3,q5.2_4,q5.2_5,q5.2_6,q5.2_7,q5.2_8,q5.2_9,q5.2_10,q5.2_11,q5.2_12,q5.2_13,q5.2_14,q5.2_15,q5.2_16,q5.2_17,q5.2_18,q5.2_19,q5.2_20,q5.2_21,q6.3,q6.4,q6.5,q6.6,q6.7,q7.3,q7.4,q7.5,q7.6,q7.7,q8.1_1,q8.1_2,q8.1_3,q8.1_4,q8.1_5,q8.1_6,q8.1_7,q8.1_8,q8.1_9,q8.1_10,q8.1_11,q8.1_12,q8.1_13,q8.1_14,q8.1_15,q8.1_16,q8.1_17,q8.1_18,q8.1_19,q8.1_20,q8.1_21,mcq
sg61n,4,4,3,5,4,3,5,3,2,3,4,3,2,5,3,4,2,2,4,3,4,2,4,3,3,2,3,2,3,2,3,3,1,3,2,3,3,3,4,3,3,2,3,2,3,3,5,3,2,3,4,2,4,2,1,1,1,2,1,2,3,3,3,4,4,4,5,4,4,4,4,4,5,5,4,3,3,1,4,5,4,3,2,4,4,3,3,3,3,2,4,4,4,2,4,2,1,2,4,2,4,3,3,1,3,4,3,3,1,3,1,4,4,3,2,4,1,1,3,4,1,4,1,2,1,1,4,2,NA,NA,NA,NA,NA,NA,3,2,3,2,3,3,3,3,3,3,3,2,3,3,2,3,2,2,2,2,2,stats
BR28,4,4,1,3,3,3,4,4,4,4,2,3,3,2,4,1,3,4,2,4,4,4,1,4,3,1,2,3,3,4,4,4,2,3,1,4,1,4,1,3,1,3,1,4,5,3,5,4,4,4,3,4,4,2,5,1,1,1,1,2,2,2,1,5,5,4,5,4,4,4,4,5,4,4,4,5,4,2,3,4,4,2,2,2,4,4,4,1,2,3,4,4,4,2,4,2,2,2,4,2,4,3,2,1,1,4,4,4,1,1,1,4,4,4,1,4,1,1,4,4,1,4,1,1,4,1,4,2,4,NA,NA,NA,NA,NA,1,1,1,3,3,1,1,1,2,2,4,1,2,1,1,3,3,1,2,1,1,stats
sx41a,1,3,2,1,1,2,3,2,1,2,2,2,2,3,1,2,1,1,2,2,1,2,1,1,2,2,1,1,2,2,1,2,1,1,1,1,2,1,2,2,1,1,1,2,2,1,2,1,2,2,2,3,2,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,2,2,1,3,2,1,1,1,1,1,1,1,1,1,2,1,3,1,2,1,1,1,1,2,1,2,1,1,1,2,2,2,2,1,1,1,1,4,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,3,1,1,1,2,1,1,3,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,maths
2tx,3,3,5,3,4,3,5,5,1,5,3,3,2,2,5,4,1,2,3,1,4,3,4,3,1,4,2,1,1,3,4,5,1,3,1,4,4,1,4,1,4,2,3,4,3,5,4,4,5,5,3,4,5,1,2,1,1,2,1,1,1,1,1,3,5,5,5,4,4,5,5,4,5,4,2,2,2,1,1,3,2,1,3,3,4,4,4,1,1,3,3,4,4,2,4,3,3,4,4,2,4,4,3,2,2,3,4,3,1,1,1,4,3,3,1,1,1,1,4,4,1,4,1,1,4,3,4,NA,NA,NA,NA,NA,NA,NA,2,4,1,2,1,1,1,1,1,2,4,3,4,3,2,1,3,1,2,3,3,stats
HG99A,5,5,3,5,5,5,5,5,1,5,3,5,5,4,5,4,1,5,4,5,2,5,2,4,5,4,5,2,5,4,5,5,5,4,4,5,4,5,4,5,2,5,2,4,5,5,5,5,5,5,5,5,5,1,2,1,3,2,1,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,2,2,2,1,1,2,4,1,3,3,2,4,4,3,1,4,2,2,1,4,2,4,1,1,1,1,2,4,1,3,3,1,4,4,4,1,4,1,3,1,4,3,4,1,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,4,4,3,3,4,4,4,3,4,2,3,1,4,4,4,1,1,stats
RP58I,3,3,4,4,3,2,3,4,2,5,3,4,3,3,5,5,2,3,4,4,5,5,4,3,3,3,3,3,3,2,3,4,2,3,2,5,3,3,4,3,3,5,3,3,5,4,5,3,4,4,5,5,5,1,1,1,1,2,1,1,3,2,2,3,5,4,5,4,3,4,5,4,5,3,1,2,2,2,3,3,2,3,3,3,2,4,3,3,3,3,2,4,4,2,2,3,3,3,4,2,2,1,2,2,2,3,3,3,2,3,2,2,3,4,3,2,3,3,2,3,2,4,2,2,NA,NA,NA,NA,NA,1,1,2,3,1,3,4,3,2,4,2,2,3,2,3,4,2,3,2,3,1,3,3,3,2,3,maths
NW97O,3,2,4,3,2,2,2,4,3,4,3,3,5,3,4,2,1,1,3,4,3,2,2,5,4,5,4,2,3,3,5,5,4,5,3,5,2,3,3,3,5,5,2,4,5,4,4,3,4,4,3,5,5,2,2,1,2,2,3,2,4,2,2,3,5,4,5,4,4,5,4,4,5,5,5,4,5,3,3,4,2,4,2,2,1,4,3,2,2,1,4,4,4,2,3,1,2,4,4,1,3,3,4,1,2,1,3,1,1,2,1,4,1,4,1,3,1,1,4,2,1,1,2,4,4,2,1,4,2,NA,NA,NA,NA,NA,1,1,1,3,1,1,3,1,2,3,4,1,3,2,1,3,4,1,2,1,4,stats
FT96E,2,3,5,4,2,2,5,5,2,5,3,2,4,4,5,4,3,2,5,3,4,4,4,4,2,5,4,3,2,2,5,5,3,4,2,4,5,2,5,4,4,4,5,4,4,5,5,3,5,5,5,5,4,1,2,1,2,2,2,2,4,3,3,4,4,4,5,2,5,4,4,2,2,1,2,1,2,2,2,2,2,2,3,1,3,3,3,1,3,2,1,4,4,1,2,2,1,2,2,2,3,2,2,3,1,1,3,2,1,1,1,2,3,4,1,3,2,1,2,2,2,3,2,2,NA,NA,NA,NA,NA,3,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,maths
AJ31M,2,3,3,3,3,4,5,4,4,4,3,4,4,4,3,3,4,5,3,4,2,4,3,3,4,3,2,3,4,3,4,4,3,4,3,4,3,5,4,4,4,4,3,4,5,3,5,2,2,3,3,4,5,2,3,2,2,2,2,4,3,4,2,3,5,4,5,3,4,4,2,3,5,4,3,3,4,1,3,4,5,2,2,2,2,3,2,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,3,2,3,2,2,2,2,2,2,2,2,3,1,4,4,4,NA,NA,NA,NA,NA,3,3,2,2,2,2,3,2,2,2,2,3,2,3,2,2,2,3,2,3,3,stats
FF90I,5,2,4,3,3,3,3,5,4,4,2,1,4,2,5,2,4,4,2,4,5,5,2,2,3,2,2,2,4,2,4,4,1,4,4,4,2,3,2,4,3,5,2,2,3,4,4,4,4,4,4,5,3,1,2,2,1,2,1,2,2,2,1,3,4,4,5,4,5,5,5,5,4,5,4,4,4,1,2,4,2,3,2,4,3,4,4,1,2,2,3,4,4,1,2,2,2,3,4,3,4,2,2,2,1,3,4,4,1,2,2,3,4,4,1,3,2,1,4,4,2,3,2,2,4,2,1,4,1,NA,NA,NA,NA,NA,2,3,4,4,4,1,2,1,3,4,4,3,2,2,1,4,4,2,4,2,3,stats
DG53A,4,3,4,5,4,3,4,4,3,5,3,4,4,4,5,4,3,4,5,4,3,3,4,4,3,4,4,4,4,4,3,4,2,4,4,4,4,5,4,5,4,4,4,4,4,3,5,4,4,4,4,4,5,1,3,2,2,3,1,3,3,4,2,4,4,5,5,3,5,5,5,5,5,5,2,2,3,1,2,5,4,2,3,3,3,3,2,2,4,3,4,4,4,2,4,2,2,2,4,2,4,2,2,3,4,4,3,3,2,4,2,4,4,4,2,4,2,2,2,4,2,4,2,2,NA,NA,NA,NA,NA,3,4,1,2,2,3,3,3,2,2,2,3,4,2,2,2,2,2,3,3,2,2,3,2,2,2,maths
2553i,4,1,1,2,2,2,3,4,1,3,4,4,4,3,5,1,3,4,2,2,3,4,2,3,1,1,3,2,2,3,4,3,3,4,2,4,1,4,2,1,3,4,2,3,4,4,4,3,4,5,3,5,5,1,1,2,2,1,2,1,3,2,2,3,3,3,3,3,4,5,4,5,4,4,4,4,4,1,2,2,2,2,2,2,3,3,3,1,2,1,3,1,1,2,3,1,1,1,4,2,1,4,3,1,3,1,2,2,1,2,1,3,2,1,1,1,1,1,2,3,1,1,1,1,NA,NA,NA,NA,NA,3,1,2,2,1,2,2,1,2,2,1,1,2,2,2,1,2,1,1,1,1,3,3,1,1,2,maths
PB05O,3,3,1,3,3,3,3,4,1,4,3,3,3,2,4,1,2,2,1,3,3,4,1,3,3,1,3,3,3,4,4,4,2,4,3,4,1,2,1,3,3,4,1,2,3,3,4,3,4,4,2,4,4,1,1,1,1,2,1,1,2,1,2,2,3,4,4,3,4,4,2,4,4,3,2,2,2,1,2,3,2,2,2,1,2,2,1,1,1,1,2,3,2,2,2,1,2,2,2,1,1,2,3,1,1,1,1,1,1,1,1,2,3,2,2,2,1,2,2,2,1,2,2,3,4,2,2,3,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,3,stats
AJ69A,3,2,5,3,4,2,2,4,1,5,1,4,4,3,4,4,1,3,3,4,2,5,2,1,1,4,1,1,1,2,5,5,1,3,1,5,4,1,1,1,2,4,2,3,4,4,5,4,5,5,2,5,5,1,2,1,1,1,1,2,1,1,2,3,4,4,5,4,5,5,1,4,5,2,1,1,1,1,2,1,2,2,2,1,2,1,1,1,1,2,2,2,1,1,2,1,1,2,1,1,3,2,3,1,1,3,1,1,1,1,1,3,4,1,1,3,1,1,3,4,1,1,1,1,4,1,NA,NA,2,NA,NA,NA,NA,NA,1,1,2,1,1,1,1,1,2,3,3,1,2,1,1,2,3,1,1,1,1,stats
LT10H,4,4,3,2,2,3,2,4,1,5,4,4,5,3,5,2,2,5,4,3,3,4,4,4,5,4,2,4,5,5,5,5,1,5,3,4,3,4,3,4,2,5,3,2,4,3,5,4,4,5,5,4,3,1,1,1,1,1,1,3,2,3,1,4,4,5,5,2,4,5,5,3,5,3,4,4,4,1,3,4,4,2,4,3,4,4,4,2,1,4,3,4,1,2,2,3,4,3,3,2,4,4,4,2,3,2,3,4,1,3,1,1,4,1,2,1,1,1,4,3,1,3,1,2,4,2,1,3,2,NA,NA,NA,NA,NA,2,2,3,2,1,1,2,1,1,2,4,2,2,2,1,3,3,2,1,2,4,stats
AA09U,2,2,2,4,4,2,2,4,2,3,3,2,4,4,3,2,2,1,4,3,2,2,2,2,4,2,4,4,3,3,4,4,1,3,4,4,2,1,3,3,2,2,2,2,4,3,5,2,3,4,2,4,4,1,3,2,2,2,1,1,2,1,1,2,3,4,5,2,4,3,2,5,4,4,4,4,3,1,1,2,3,1,3,4,2,3,4,2,1,2,2,4,2,3,3,1,3,4,4,2,1,2,2,1,2,1,2,1,1,1,1,1,3,2,1,1,1,1,3,3,1,1,1,1,NA,NA,NA,NA,NA,3,1,3,2,4,1,3,3,2,2,1,1,1,1,4,3,1,2,1,1,3,3,1,1,1,2,maths
